UC-001	Đăng nhập hệ thống	Full	Full	Full	Full	Full	Full	Full
UC-002	Truy cập Trang chủ DLM-ERP	Full	Full	Full	Full	Full	Full	Full
UC-003	Xem ma trận phân quyền của vai trò	Full	No	No	No	No	No	No
UC-004	Quản lý vai trò	Full	No	No	No	No	No	No
UC-005	Cấu hình quyền của vai trò	Full	No	No	No	No	No	No
UC-006	Xem danh sách người dùng	Full	No	No	No	No	No	No
UC-007	Tạo tài khoản người dùng	Full	No	No	No	No	No	No
UC-008	Quản lý vai trò & trạng thái tài khoản	Full	No	No	No	No	No	No
UC-009	Chỉ định người duyệt thay (Backup Approver)	Full	No	No	No	No	No	No
UC-010	Cấu hình tham số cơ cấu giá & hao hụt mặc định	No	Restricted	No	No	Full	Full	No
UC-011	Cấu hình cấp duyệt	No	Full	No	No	No	No	No
UC-012	Cấu hình SLA & Escalation (chưa triển khai)	No	Full	No	No	No	No	No
UC-013	Tra cứu nhật ký thay đổi cấu hình (chỉ ghi log VAT/làm tròn; các quy tắc khác dùng chatter, chưa có màn tra cứu tổng hợp)	Full	Full	Restricted	No	No	No	No
UC-014	Quản lý Đơn vị tính & Thông tin công ty	No	Full	No	No	No	No	No
UC-015	Mở màn Cấu hình Báo giá	Full	Full	Full	Restricted	Full	Restricted	No
UC-016	Tạo / sửa quy tắc kỹ thuật (hao hụt, công đoạn, chi phí chung)	No	No	No	No	Full	Full	No
UC-017	Quản lý danh mục dùng chung (công đoạn, mức phức tạp)	No	No	No	No	Full	Full	No
UC-018	Áp dụng / Ngừng áp dụng quy tắc kỹ thuật	No	No	No	No	Full	Full	No
UC-019	Tạo bản sửa đổi quy tắc	No	No	No	No	Full	No	No
UC-020	Tạo chính sách lợi nhuận và giá sàn	No	Full	No	No	No	No	No
UC-021	Tạo chính sách chiết khấu theo nhóm khách hàng	No	No	Full	No	No	No	No
UC-022	Gửi duyệt cấu hình thương mại	No	Full	Full	No	No	No	No
UC-023	Đề xuất ngưỡng phê duyệt báo giá theo giá trị	No	No	Full	No	No	No	No
UC-024	Áp dụng ngưỡng phê duyệt báo giá theo giá trị	No	Full	No	No	No	No	No
UC-025	Cấu hình người duyệt theo loại yêu cầu	No	Full	No	No	No	No	No
UC-026	Xử lý yêu cầu thay đổi cấu hình	No	Full	No	No	No	No	No
UC-027	Xem các yêu cầu phê duyệt	Restricted	Full	Full	Restricted	No	No	No
UC-028	Quản lý hồ sơ khách hàng	No	No	No	Full	No	No	No
UC-029	Gộp hồ sơ Khách hàng và Nhà cung cấp	No	No	No	Full	No	Full	No
UC-030	Vô hiệu hoá, Kích hoạt lại khách hàng	Full	No	Full	No	No	Restricted	No
UC-031	Tra cứu, lọc & nhóm danh sách khách hàng	Full	Full	Full	Full	No	No	No
UC-032	Quản lý nhãn đối tác	No	No	Full	No	No	No	No
UC-033	Quản lý hồ sơ nhà cung cấp	Full	Full	No	No	No	Restricted	Full
UC-034	Xem danh sách NCC ở chế độ chỉ đọc	No	No	Full	No	No	Restricted	No
UC-035	Xem thống kê & cảnh báo trên hồ sơ khách hàng	No	No	No	Full	No	No	No
UC-036	Phân loại nhóm khách hàng tự động	—	—	—	—	—	—	—
UC-037	Cấu hình ngưỡng khách thân thiết	Full	Full	No	No	No	No	No
UC-038	Quản lý nhóm sản phẩm	No	No	Full	No	Full	No	No
UC-039	Tạo sản phẩm gia công	No	No	No	No	Full	No	No
UC-040	Tạo sản phẩm thương mại	No	No	No	Full	No	No	No
UC-041	Nhập giá bán sản phẩm thương mại	No	No	No	Full	No	No	No
UC-042	Tạo vật tư	No	No	No	No	Full	No	No
UC-043	Tạo bán thành phẩm	No	No	No	No	Full	No	No
UC-044	Thiết lập hao hụt cơ sở và phế liệu thu hồi	No	No	No	No	Full	No	No
UC-045	Chuyển vòng đời sản phẩm	No	No	No	No	Full	No	No
UC-045A	Chặn kích hoạt tay sản phẩm tạm từ RFQ	—	—	—	—	—	—	—
