--- BPM FT ---
FT-ID | Feature | Priority | Description | UC-ID | BF-ID | SOURCE
FT-19 | Quản lý hồ sơ khách hàng | Must | Tạo/sửa/xem hồ sơ khách hàng: thông tin liên hệ, địa chỉ, loại KH, MST, nhãn; hệ thống tự sinh mã khách hàng dạng KH-0001 | UC-028 |  | Tự phát triển (trên nền res.partner của Odoo)
FT-20 | Gộp hồ sơ Khách hàng và Nhà cung cấp | Should | Khi tạo khách hàng mới trùng với một nhà cung cấp đã có (hoặc ngược lại), cho phép liên kết để gộp thành một hồ sơ dùng chung (vai trò "Khách hàng & NCC"). Chỉ thực hiện được lúc tạo mới, chưa hỗ trợ gộp 2 hồ sơ đã tồn tại sẵn cả hai | UC-029 |  | Tự phát triển
FT-21 | Vô hiệu hoá / Kích hoạt lại khách hàng | Should | Ngừng hợp tác một khách hàng (giữ nguyên dữ liệu, ẩn khỏi lựa chọn khi tạo báo giá/RFQ mới) và kích hoạt lại khi cần | UC-030 |  | Tự phát triển
FT-22 | Tra cứu, lọc & nhóm danh sách khách hàng | Must | Tìm kiếm/lọc theo loại khách hàng, nhóm, trạng thái, nhãn; xem dạng danh sách hoặc kanban | UC-031 |  | Tự phát triển
FT-23 | Kiểm tra trùng mã số thuế | Must | Khi tạo hoặc sửa khách hàng/NCC, hệ thống rà trùng MST; cho phép đánh dấu ngoại lệ khi là chi nhánh dùng chung MST công ty mẹ | UC-103 |  | Tự phát triển
FT-24 | Quản lý người liên hệ của khách hàng | Should | Thêm/sửa/xoá danh sách người liên hệ (họ tên, chức vụ, điện thoại, email) gắn với một hồ sơ khách hàng. Hiện chỉ có ở hồ sơ Khách hàng, chưa có ở hồ sơ Nhà cung cấp | UC-104 |  | Tự phát triển
FT-25 | Quản lý hồ sơ nhà cung cấp | Must | Tạo/sửa/xem hồ sơ nhà cung cấp/thầu phụ; xem danh sách NCC ở chế độ chỉ đọc cho vai trò không sở hữu (Trưởng KD, Kế toán) | UC-033, UC-034 |  | Tự phát triển
FT-26 | Tạo nhanh đối tác từ màn nghiệp vụ | Should | Tạo nhanh khách hàng/nhà cung cấp ngay trong màn tạo RFQ hoặc tạo bảng giá NCC, dùng chung form chi tiết đối tác | UC-064 |  | Tự phát triển
FT-93 | Phân loại nhóm khách hàng tự động | Should | Hệ thống tự xếp khách hàng vào nhóm Khách mới / Khách cũ / Khách thân thiết dựa trên lịch sử báo giá đã chốt và ngưỡng doanh số cấu hình được, cập nhật ngay khi báo giá đổi trạng thái (không qua tác vụ định kỳ). Logic đặt ở module Bán hàng, hiển thị trên hồ sơ khách hàng | UC-036, UC-037 |  | Tự phát triển
FT-94 | Thống kê & cảnh báo trên hồ sơ khách hàng | Should | Hiển thị số báo giá, tỷ lệ thắng, số báo giá chưa đóng; cảnh báo khách hàng ngừng hợp tác còn báo giá mở, cảnh báo gộp đơn né duyệt. Logic đặt ở module Bán hàng, hiển thị trên hồ sơ khách hàng | UC-035 |  | Tự phát triển
FT-95 | Quản lý nhãn đối tác | Could | Gắn nhãn tự do (VD: Khách quen, VIP) cho khách hàng/NCC để lọc/nhóm nhanh; tạo nhãn mới ngay trên form. Chưa có màn quản lý danh sách nhãn riêng | UC-032 |  | Tự phát triển
--- SALE FT ---
FT-ID | Feature | Priority | Description | UC-ID | BF-ID | SOURCE
FT-27 | Tạo yêu cầu báo giá (RFQ) | Must | Sales tạo yêu cầu báo giá mới từ nhu cầu khách hàng, tách dòng theo loại gia công/thương mại | UC-064 |  | Tự phát triển (mô hình RFQ thuộc dl_technical)
FT-28 | Mở màn xử lý dòng RFQ (workspace kỹ thuật) | Must | Kỹ thuật xác định sản phẩm cho từng dòng (có gợi ý sản phẩm đã từng gia công tương tự), tạo BOM mới hoặc sinh từ BOM mẫu tham số | UC-066, UC-067, UC-068, UC-069, UC-069A |  | Tự phát triển
FT-29 | Chọn/gán sản phẩm cho dòng RFQ | Must | Gắn một mặt hàng khách cần với sản phẩm và định mức có sẵn, hoặc tạo mới ngay trong màn xử lý; cho phép sửa BOM đã chọn bằng cách tạo bản ghi định mức mới | UC-067, UC-069, UC-070 |  | Tự phát triển
FT-30 | Trả lại RFQ để bổ sung | Should | Kỹ thuật chọn một hoặc nhiều dòng, nhập lý do, trả cả yêu cầu về cho Sales bổ sung thông tin | UC-073 |  | Tự phát triển
